input,output
PM2.5=31 humidity=89 wind=7.9 AQI=45,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=69 humidity=65 wind=2.1 AQI=111,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=152 humidity=80 wind=5.8 AQI=208,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=255 humidity=52 wind=2.8 AQI=343,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=183 humidity=74 wind=1.4 AQI=267,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=123 humidity=73 wind=6.4 AQI=164,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=244 humidity=68 wind=6.2 AQI=320,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=88 humidity=67 wind=7.9 AQI=108,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=137 humidity=93 wind=3.1 AQI=209,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=210 humidity=88 wind=1.8 AQI=308,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=86 humidity=77 wind=6.9 AQI=115,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=66 humidity=53 wind=5.3 AQI=85,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=172 humidity=30 wind=6.4 AQI=206,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=299 humidity=67 wind=2.6 AQI=409,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=144 humidity=58 wind=7.0 AQI=181,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=22 humidity=73 wind=4.1 AQI=44,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=16 humidity=69 wind=6.6 AQI=22,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=256 humidity=56 wind=3.3 AQI=344,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=19 humidity=88 wind=1.5 AQI=61,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=112 humidity=45 wind=4.8 AQI=144,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=164 humidity=86 wind=6.3 AQI=224,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=28 humidity=24 wind=3.6 AQI=30,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=152 humidity=34 wind=5.6 AQI=186,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=36 humidity=44 wind=5.8 AQI=39,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=114 humidity=63 wind=0.9 AQI=175,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=28 humidity=80 wind=3.2 AQI=60,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=65 humidity=31 wind=5.9 AQI=70,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=238 humidity=34 wind=7.4 AQI=289,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=67 humidity=58 wind=0.7 AQI=112,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=249 humidity=48 wind=1.1 AQI=342,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=98 humidity=73 wind=6.6 AQI=130,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=98 humidity=57 wind=1.2 AQI=149,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=173 humidity=62 wind=4.6 AQI=232,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=235 humidity=85 wind=6.4 AQI=316,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=129 humidity=37 wind=6.6 AQI=153,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=267 humidity=54 wind=7.5 AQI=336,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=123 humidity=90 wind=4.4 AQI=182,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=98 humidity=63 wind=5.7 AQI=130,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=81 humidity=21 wind=6.8 AQI=81,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=282 humidity=72 wind=4.0 AQI=382,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=40 humidity=85 wind=5.8 AQI=65,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=48 humidity=31 wind=5.0 AQI=52,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=106 humidity=28 wind=6.6 AQI=118,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=150 humidity=80 wind=3.4 AQI=218,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=89 humidity=75 wind=2.5 AQI=140,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=288 humidity=78 wind=4.1 AQI=392,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=212 humidity=66 wind=5.3 AQI=282,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=202 humidity=88 wind=6.7 AQI=273,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=182 humidity=20 wind=5.4 AQI=219,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=202 humidity=84 wind=5.2 AQI=278,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=177 humidity=28 wind=5.8 AQI=215,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=83 humidity=95 wind=3.1 AQI=139,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=125 humidity=49 wind=2.7 AQI=173,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=168 humidity=88 wind=2.3 AQI=250,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=41 humidity=33 wind=6.4 AQI=37,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=69 humidity=50 wind=1.5 AQI=107,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=11 humidity=66 wind=6.5 AQI=14,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=82 humidity=64 wind=4.0 AQI=118,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=36 humidity=50 wind=0.7 AQI=68,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=226 humidity=56 wind=4.9 AQI=297,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=188 humidity=91 wind=5.8 AQI=260,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=27 humidity=41 wind=6.6 AQI=22,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=61 humidity=93 wind=7.7 AQI=87,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=256 humidity=72 wind=7.6 AQI=330,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=281 humidity=23 wind=4.1 AQI=356,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=164 humidity=93 wind=7.7 AQI=221,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=168 humidity=37 wind=5.6 AQI=208,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=23 humidity=50 wind=2.6 AQI=41,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=258 humidity=67 wind=2.1 AQI=358,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=298 humidity=92 wind=1.6 AQI=425,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=80 humidity=79 wind=5.8 AQI=114,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=139 humidity=34 wind=2.4 AQI=185,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=109 humidity=55 wind=7.4 AQI=132,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=279 humidity=26 wind=0.7 AQI=372,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=228 humidity=62 wind=5.8 AQI=298,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=19 humidity=92 wind=4.9 AQI=46,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=235 humidity=41 wind=3.6 AQI=308,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=92 humidity=41 wind=7.7 AQI=101,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=235 humidity=36 wind=2.7 AQI=310,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=128 humidity=43 wind=4.6 AQI=164,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=225 humidity=57 wind=3.6 AQI=303,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=220 humidity=63 wind=1.4 AQI=310,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=112 humidity=65 wind=7.7 AQI=139,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=144 humidity=29 wind=6.1 AQI=171,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=51 humidity=41 wind=5.5 AQI=59,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=262 humidity=71 wind=4.2 AQI=355,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=93 humidity=95 wind=7.4 AQI=131,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=212 humidity=54 wind=2.2 AQI=291,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=285 humidity=61 wind=8.0 AQI=361,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=109 humidity=82 wind=2.2 AQI=171,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=162 humidity=88 wind=7.2 AQI=218,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=64 humidity=28 wind=4.8 AQI=73,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=43 humidity=77 wind=2.9 AQI=79,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=122 humidity=90 wind=5.3 AQI=177,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=76 humidity=88 wind=5.8 AQI=113,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=182 humidity=20 wind=1.1 AQI=241,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=33 humidity=77 wind=4.7 AQI=57,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=251 humidity=65 wind=7.7 AQI=320,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=231 humidity=92 wind=7.0 AQI=311,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=189 humidity=65 wind=4.7 AQI=254,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=209 humidity=44 wind=2.1 AQI=283,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=48 humidity=88 wind=2.5 AQI=93,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=76 humidity=38 wind=7.8 AQI=78,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=256 humidity=20 wind=6.5 AQI=310,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=224 humidity=42 wind=5.3 AQI=285,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=291 humidity=52 wind=2.1 AQI=393,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=174 humidity=69 wind=3.4 AQI=243,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=136 humidity=94 wind=2.7 AQI=210,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=246 humidity=95 wind=3.1 AQI=351,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=235 humidity=61 wind=5.8 AQI=307,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=141 humidity=27 wind=5.2 AQI=170,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=74 humidity=69 wind=1.4 AQI=123,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=82 humidity=73 wind=4.1 AQI=122,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=42 humidity=69 wind=7.3 AQI=52,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=166 humidity=57 wind=4.2 AQI=223,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=60 humidity=52 wind=5.1 AQI=78,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=42 humidity=44 wind=3.9 AQI=57,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=124 humidity=72 wind=5.3 AQI=170,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=132 humidity=65 wind=3.7 AQI=185,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=162 humidity=91 wind=7.4 AQI=219,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=220 humidity=33 wind=6.9 AQI=268,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=175 humidity=67 wind=3.1 AQI=245,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=11 humidity=87 wind=7.8 AQI=18,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=115 humidity=37 wind=6.2 AQI=137,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=26 humidity=70 wind=4.2 AQI=47,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=104 humidity=86 wind=3.0 AQI=163,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=110 humidity=65 wind=4.7 AQI=152,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=240 humidity=48 wind=5.5 AQI=308,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=217 humidity=56 wind=1.5 AQI=302,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=113 humidity=77 wind=2.0 AQI=175,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=192 humidity=65 wind=1.5 AQI=274,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=210 humidity=39 wind=1.5 AQI=285,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=273 humidity=61 wind=1.3 AQI=378,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=11 humidity=54 wind=6.9 AQI=6,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=250 humidity=45 wind=6.2 AQI=316,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=68 humidity=87 wind=3.3 AQI=115,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=233 humidity=52 wind=3.8 AQI=309,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=80 humidity=71 wind=1.2 AQI=133,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=146 humidity=93 wind=7.6 AQI=198,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=175 humidity=44 wind=1.0 AQI=244,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=45 humidity=20 wind=3.2 AQI=52,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=40 humidity=37 wind=3.6 AQI=52,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=78 humidity=71 wind=1.9 AQI=127,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=164 humidity=66 wind=7.6 AQI=208,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=54 humidity=49 wind=1.9 AQI=85,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=203 humidity=95 wind=6.7 AQI=277,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=57 humidity=95 wind=4.2 AQI=100,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=182 humidity=21 wind=4.0 AQI=227,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=226 humidity=50 wind=6.0 AQI=288,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=151 humidity=71 wind=4.3 AQI=210,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=223 humidity=34 wind=5.3 AQI=280,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=224 humidity=74 wind=5.1 AQI=302,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=43 humidity=34 wind=5.9 AQI=43,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=208 humidity=46 wind=5.3 AQI=266,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=278 humidity=76 wind=4.3 AQI=377,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=274 humidity=92 wind=6.2 AQI=371,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=156 humidity=90 wind=1.6 AQI=239,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=212 humidity=94 wind=6.7 AQI=289,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=111 humidity=65 wind=6.9 AQI=142,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=197 humidity=22 wind=4.0 AQI=247,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=212 humidity=80 wind=6.2 AQI=284,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=35 humidity=51 wind=8.0 AQI=31,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=214 humidity=76 wind=2.9 AQI=301,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=14 humidity=80 wind=3.6 AQI=40,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=259 humidity=74 wind=5.2 AQI=347,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=226 humidity=42 wind=7.4 AQI=277,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=204 humidity=60 wind=2.5 AQI=282,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=285 humidity=45 wind=2.6 AQI=380,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=62 humidity=24 wind=1.0 AQI=87,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=191 humidity=90 wind=3.9 AQI=273,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=16 humidity=69 wind=2.7 AQI=41,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=40 humidity=92 wind=5.2 AQI=72,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=205 humidity=45 wind=0.6 AQI=286,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=164 humidity=81 wind=1.2 AQI=247,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=182 humidity=35 wind=5.9 AQI=224,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=208 humidity=69 wind=6.9 AQI=270,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=101 humidity=63 wind=4.5 AQI=140,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=135 humidity=94 wind=3.1 AQI=207,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=127 humidity=50 wind=2.9 AQI=175,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=247 humidity=30 wind=3.3 AQI=319,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=83 humidity=28 wind=6.4 AQI=89,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=140 humidity=28 wind=5.8 AQI=167,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=185 humidity=62 wind=1.1 AQI=266,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=174 humidity=21 wind=6.1 AQI=206,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=203 humidity=94 wind=4.3 AQI=289,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=222 humidity=72 wind=6.2 AQI=293,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=83 humidity=75 wind=1.0 AQI=140,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=261 humidity=60 wind=2.3 AQI=357,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=49 humidity=60 wind=1.5 AQI=86,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=204 humidity=58 wind=5.9 AQI=264,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=262 humidity=71 wind=4.1 AQI=355,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=83 humidity=33 wind=1.5 AQI=116,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=242 humidity=66 wind=1.0 AQI=342,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=48 humidity=60 wind=5.5 AQI=64,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=110 humidity=34 wind=0.7 AQI=156,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
